"alone1" "alone2" "intra1fx" "intra2fx" "inter1fx" "inter2fx" "fit_alone1" "fit_alone2" "epis" "loss" "loss2" "p1" "p2" "comb" "intra1" "intra2" "inter1" "inter2" "fitness" "cotransf" "exx1fx" "exx2fx" "lossXY" "time"
"1e-13_1_1_0.85_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1" 1e-13 1e-13 1 1 1 1 0.85 0.85 0 1e-08 1 "1e-13_1_1_0.85_0_1e-08_1" "1e-13_1_1_0.85_0_1e-08_1" "1e-13_1_1_0.85_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1" 1e-13 1e-13 1e-13 1e-13 0.7225 1e-13 1e-13 1e-13 1e-08 5709
"1e-12_1_1_0.85_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1" 1e-12 1e-13 1 1 1 1 0.85 0.85 0 1e-08 1 "1e-12_1_1_0.85_0_1e-08_1" "1e-13_1_1_0.85_0_1e-08_1" "1e-12_1_1_0.85_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1" 1e-12 1e-13 1e-12 1e-13 0.7225 1e-13 1e-12 1e-13 1e-08 5802
"1e-11_1_1_0.85_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1" 1e-11 1e-13 1 1 1 1 0.85 0.85 0 1e-08 1 "1e-11_1_1_0.85_0_1e-08_1" "1e-13_1_1_0.85_0_1e-08_1" "1e-11_1_1_0.85_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1" 1e-11 1e-13 1e-11 1e-13 0.7225 1e-13 1e-11 1e-13 1e-08 6362
"1e-13_1_1_0.85_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1" 1e-13 1e-12 1 1 1 1 0.85 0.85 0 1e-08 1 "1e-13_1_1_0.85_0_1e-08_1" "1e-12_1_1_0.85_0_1e-08_1" "1e-13_1_1_0.85_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1" 1e-13 1e-12 1e-13 1e-12 0.7225 1e-13 1e-13 1e-12 1e-08 6022
"1e-12_1_1_0.85_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1" 1e-12 1e-12 1 1 1 1 0.85 0.85 0 1e-08 1 "1e-12_1_1_0.85_0_1e-08_1" "1e-12_1_1_0.85_0_1e-08_1" "1e-12_1_1_0.85_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1" 1e-12 1e-12 1e-12 1e-12 0.7225 1e-12 1e-12 1e-12 1e-08 5698
"1e-11_1_1_0.85_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1" 1e-11 1e-12 1 1 1 1 0.85 0.85 0 1e-08 1 "1e-11_1_1_0.85_0_1e-08_1" "1e-12_1_1_0.85_0_1e-08_1" "1e-11_1_1_0.85_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1" 1e-11 1e-12 1e-11 1e-12 0.7225 1e-12 1e-11 1e-12 1e-08 6362
"1e-13_1_1_0.85_0_1e-08_1:1e-11_1_1_0.85_0_1e-08_1" 1e-13 1e-11 1 1 1 1 0.85 0.85 0 1e-08 1 "1e-13_1_1_0.85_0_1e-08_1" "1e-11_1_1_0.85_0_1e-08_1" "1e-13_1_1_0.85_0_1e-08_1:1e-11_1_1_0.85_0_1e-08_1" 1e-13 1e-11 1e-13 1e-11 0.7225 1e-13 1e-13 1e-11 1e-08 6510
"1e-12_1_1_0.85_0_1e-08_1:1e-11_1_1_0.85_0_1e-08_1" 1e-12 1e-11 1 1 1 1 0.85 0.85 0 1e-08 1 "1e-12_1_1_0.85_0_1e-08_1" "1e-11_1_1_0.85_0_1e-08_1" "1e-12_1_1_0.85_0_1e-08_1:1e-11_1_1_0.85_0_1e-08_1" 1e-12 1e-11 1e-12 1e-11 0.7225 1e-12 1e-12 1e-11 1e-08 6313
"1e-11_1_1_0.85_0_1e-08_1:1e-11_1_1_0.85_0_1e-08_1" 1e-11 1e-11 1 1 1 1 0.85 0.85 0 1e-08 1 "1e-11_1_1_0.85_0_1e-08_1" "1e-11_1_1_0.85_0_1e-08_1" "1e-11_1_1_0.85_0_1e-08_1:1e-11_1_1_0.85_0_1e-08_1" 1e-11 1e-11 1e-11 1e-11 0.7225 1e-11 1e-11 1e-11 1e-08 6384
"1e-13_1_1_0.9_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1" 1e-13 1e-13 1 1 1 1 0.9 0.85 0 1e-08 1 "1e-13_1_1_0.9_0_1e-08_1" "1e-13_1_1_0.85_0_1e-08_1" "1e-13_1_1_0.9_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1" 1e-13 1e-13 1e-13 1e-13 0.765 1e-13 1e-13 1e-13 1e-08 8492
"1e-12_1_1_0.9_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1" 1e-12 1e-13 1 1 1 1 0.9 0.85 0 1e-08 1 "1e-12_1_1_0.9_0_1e-08_1" "1e-13_1_1_0.85_0_1e-08_1" "1e-12_1_1_0.9_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1" 1e-12 1e-13 1e-12 1e-13 0.765 1e-13 1e-12 1e-13 1e-08 8546
"1e-11_1_1_0.9_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1" 1e-11 1e-13 1 1 1 1 0.9 0.85 0 1e-08 1 "1e-11_1_1_0.9_0_1e-08_1" "1e-13_1_1_0.85_0_1e-08_1" "1e-11_1_1_0.9_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1" 1e-11 1e-13 1e-11 1e-13 0.765 1e-13 1e-11 1e-13 1e-08 10240
"1e-13_1_1_0.9_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1" 1e-13 1e-12 1 1 1 1 0.9 0.85 0 1e-08 1 "1e-13_1_1_0.9_0_1e-08_1" "1e-12_1_1_0.85_0_1e-08_1" "1e-13_1_1_0.9_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1" 1e-13 1e-12 1e-13 1e-12 0.765 1e-13 1e-13 1e-12 1e-08 9438
"1e-12_1_1_0.9_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1" 1e-12 1e-12 1 1 1 1 0.9 0.85 0 1e-08 1 "1e-12_1_1_0.9_0_1e-08_1" "1e-12_1_1_0.85_0_1e-08_1" "1e-12_1_1_0.9_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1" 1e-12 1e-12 1e-12 1e-12 0.765 1e-12 1e-12 1e-12 1e-08 8651
"1e-11_1_1_0.9_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1" 1e-11 1e-12 1 1 1 1 0.9 0.85 0 1e-08 1 "1e-11_1_1_0.9_0_1e-08_1" "1e-12_1_1_0.85_0_1e-08_1" "1e-11_1_1_0.9_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1" 1e-11 1e-12 1e-11 1e-12 0.765 1e-12 1e-11 1e-12 1e-08 10351
"1e-13_1_1_0.9_0_1e-08_1:1e-11_1_1_0.85_0_1e-08_1" 1e-13 1e-11 1 1 1 1 0.9 0.85 0 1e-08 1 "1e-13_1_1_0.9_0_1e-08_1" "1e-11_1_1_0.85_0_1e-08_1" "1e-13_1_1_0.9_0_1e-08_1:1e-11_1_1_0.85_0_1e-08_1" 1e-13 1e-11 1e-13 1e-11 0.765 1e-13 1e-13 1e-11 1e-08 8404
