"alone1" "alone2" "intra1fx" "intra2fx" "inter1fx" "inter2fx" "fit_alone1" "fit_alone2" "epis" "loss" "loss2" "p1" "p2" "comb" "intra1" "intra2" "inter1" "inter2" "fitness" "cotransf" "exx1fx" "exx2fx" "lossXY" "time"
"1e-13_1_1_0.85_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-13 0 1 1 1 1 0.85 0 0 1e-08 1 "1e-13_1_1_0.85_0_1e-08_1" "0_1_1_0_0_1e-08_1" "1e-13_1_1_0.85_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-13 0 1e-13 0 0 0 1e-13 0 1e-08 5684
"1e-12_1_1_0.85_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-12 0 1 1 1 1 0.85 0 0 1e-08 1 "1e-12_1_1_0.85_0_1e-08_1" "0_1_1_0_0_1e-08_1" "1e-12_1_1_0.85_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-12 0 1e-12 0 0 0 1e-12 0 1e-08 5799
"1e-11_1_1_0.85_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-11 0 1 1 1 1 0.85 0 0 1e-08 1 "1e-11_1_1_0.85_0_1e-08_1" "0_1_1_0_0_1e-08_1" "1e-11_1_1_0.85_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-11 0 1e-11 0 0 0 1e-11 0 1e-08 6584
"1e-10_1_1_0.85_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-10 0 1 1 1 1 0.85 0 0 1e-08 1 "1e-10_1_1_0.85_0_1e-08_1" "0_1_1_0_0_1e-08_1" "1e-10_1_1_0.85_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-10 0 1e-10 0 0 0 1e-10 0 1e-08 51949
"1e-13_1_1_0.9_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-13 0 1 1 1 1 0.9 0 0 1e-08 1 "1e-13_1_1_0.9_0_1e-08_1" "0_1_1_0_0_1e-08_1" "1e-13_1_1_0.9_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-13 0 1e-13 0 0 0 1e-13 0 1e-08 8581
"1e-12_1_1_0.9_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-12 0 1 1 1 1 0.9 0 0 1e-08 1 "1e-12_1_1_0.9_0_1e-08_1" "0_1_1_0_0_1e-08_1" "1e-12_1_1_0.9_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-12 0 1e-12 0 0 0 1e-12 0 1e-08 8718
"1e-11_1_1_0.9_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-11 0 1 1 1 1 0.9 0 0 1e-08 1 "1e-11_1_1_0.9_0_1e-08_1" "0_1_1_0_0_1e-08_1" "1e-11_1_1_0.9_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-11 0 1e-11 0 0 0 1e-11 0 1e-08 10504
"1e-10_1_1_0.9_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-10 0 1 1 1 1 0.9 0 0 1e-08 1 "1e-10_1_1_0.9_0_1e-08_1" "0_1_1_0_0_1e-08_1" "1e-10_1_1_0.9_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-10 0 1e-10 0 0 0 1e-10 0 1e-08 9163
"1e-13_1_1_0.95_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-13 0 1 1 1 1 0.95 0 0 1e-08 1 "1e-13_1_1_0.95_0_1e-08_1" "0_1_1_0_0_1e-08_1" "1e-13_1_1_0.95_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-13 0 1e-13 0 0 0 1e-13 0 1e-08 16687
"1e-12_1_1_0.95_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-12 0 1 1 1 1 0.95 0 0 1e-08 1 "1e-12_1_1_0.95_0_1e-08_1" "0_1_1_0_0_1e-08_1" "1e-12_1_1_0.95_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-12 0 1e-12 0 0 0 1e-12 0 1e-08 17982
