"alone1" "alone2" "intra1fx" "intra2fx" "inter1fx" "inter2fx" "fit_alone1" "fit_alone2" "epis" "loss" "loss2" "p1" "p2" "comb" "intra1" "intra2" "inter1" "inter2" "fitness" "cotransf" "exx1fx" "exx2fx" "lossXY" "time"
"1e-13_1_1_0.85_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-13 0 1 1 1 1 0.85 0 0 1e-08 1 "1e-13_1_1_0.85_0_1e-08_1" "0_1_1_0_0_1e-08_1" "1e-13_1_1_0.85_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-13 0 1e-13 0 0 0 1e-13 0 1e-08 6176
"1e-12_1_1_0.85_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-12 0 1 1 1 1 0.85 0 0 1e-08 1 "1e-12_1_1_0.85_0_1e-08_1" "0_1_1_0_0_1e-08_1" "1e-12_1_1_0.85_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-12 0 1e-12 0 0 0 1e-12 0 1e-08 6417
"1e-11_1_1_0.85_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-11 0 1 1 1 1 0.85 0 0 1e-08 1 "1e-11_1_1_0.85_0_1e-08_1" "0_1_1_0_0_1e-08_1" "1e-11_1_1_0.85_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-11 0 1e-11 0 0 0 1e-11 0 1e-08 6599
"1e-13_1_1_0.9_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-13 0 1 1 1 1 0.9 0 0 1e-08 1 "1e-13_1_1_0.9_0_1e-08_1" "0_1_1_0_0_1e-08_1" "1e-13_1_1_0.9_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-13 0 1e-13 0 0 0 1e-13 0 1e-08 8583
"1e-12_1_1_0.9_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-12 0 1 1 1 1 0.9 0 0 1e-08 1 "1e-12_1_1_0.9_0_1e-08_1" "0_1_1_0_0_1e-08_1" "1e-12_1_1_0.9_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-12 0 1e-12 0 0 0 1e-12 0 1e-08 8731
"1e-11_1_1_0.9_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-11 0 1 1 1 1 0.9 0 0 1e-08 1 "1e-11_1_1_0.9_0_1e-08_1" "0_1_1_0_0_1e-08_1" "1e-11_1_1_0.9_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-11 0 1e-11 0 0 0 1e-11 0 1e-08 10625
"1e-13_1_1_0.95_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-13 0 1 1 1 1 0.95 0 0 1e-08 1 "1e-13_1_1_0.95_0_1e-08_1" "0_1_1_0_0_1e-08_1" "1e-13_1_1_0.95_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-13 0 1e-13 0 0 0 1e-13 0 1e-08 18255
"1e-12_1_1_0.95_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-12 0 1 1 1 1 0.95 0 0 1e-08 1 "1e-12_1_1_0.95_0_1e-08_1" "0_1_1_0_0_1e-08_1" "1e-12_1_1_0.95_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-12 0 1e-12 0 0 0 1e-12 0 1e-08 17553
"1e-11_1_1_0.95_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-11 0 1 1 1 1 0.95 0 0 1e-08 1 "1e-11_1_1_0.95_0_1e-08_1" "0_1_1_0_0_1e-08_1" "1e-11_1_1_0.95_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-11 0 1e-11 0 0 0 1e-11 0 1e-08 29188
"1e-13_1_1_0.975_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-13 0 1 1 1 1 0.975 0 0 1e-08 1 "1e-13_1_1_0.975_0_1e-08_1" "0_1_1_0_0_1e-08_1" "1e-13_1_1_0.975_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-13 0 1e-13 0 0 0 1e-13 0 1e-08 36040
"1e-12_1_1_0.975_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-12 0 1 1 1 1 0.975 0 0 1e-08 1 "1e-12_1_1_0.975_0_1e-08_1" "0_1_1_0_0_1e-08_1" "1e-12_1_1_0.975_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-12 0 1e-12 0 0 0 1e-12 0 1e-08 36744
"1e-11_1_1_0.975_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-11 0 1 1 1 1 0.975 0 0 1e-08 1 "1e-11_1_1_0.975_0_1e-08_1" "0_1_1_0_0_1e-08_1" "1e-11_1_1_0.975_0_1e-08_1:0_1_1_0_0_1e-08_1" 1e-11 0 1e-11 0 0 0 1e-11 0 1e-08 146615
"1e-13_1_1_0.85_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-13 0 1 1 1 1 0.85 0 0 1e-06 1 "1e-13_1_1_0.85_0_1e-06_1" "0_1_1_0_0_1e-06_1" "1e-13_1_1_0.85_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-13 0 1e-13 0 0 0 1e-13 0 1e-06 5256
"1e-12_1_1_0.85_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-12 0 1 1 1 1 0.85 0 0 1e-06 1 "1e-12_1_1_0.85_0_1e-06_1" "0_1_1_0_0_1e-06_1" "1e-12_1_1_0.85_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-12 0 1e-12 0 0 0 1e-12 0 1e-06 5267
"1e-11_1_1_0.85_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-11 0 1 1 1 1 0.85 0 0 1e-06 1 "1e-11_1_1_0.85_0_1e-06_1" "0_1_1_0_0_1e-06_1" "1e-11_1_1_0.85_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-11 0 1e-11 0 0 0 1e-11 0 1e-06 5910
"1e-13_1_1_0.9_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-13 0 1 1 1 1 0.9 0 0 1e-06 1 "1e-13_1_1_0.9_0_1e-06_1" "0_1_1_0_0_1e-06_1" "1e-13_1_1_0.9_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-13 0 1e-13 0 0 0 1e-13 0 1e-06 7657
"1e-12_1_1_0.9_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-12 0 1 1 1 1 0.9 0 0 1e-06 1 "1e-12_1_1_0.9_0_1e-06_1" "0_1_1_0_0_1e-06_1" "1e-12_1_1_0.9_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-12 0 1e-12 0 0 0 1e-12 0 1e-06 7954
"1e-11_1_1_0.9_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-11 0 1 1 1 1 0.9 0 0 1e-06 1 "1e-11_1_1_0.9_0_1e-06_1" "0_1_1_0_0_1e-06_1" "1e-11_1_1_0.9_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-11 0 1e-11 0 0 0 1e-11 0 1e-06 10085
"1e-13_1_1_0.95_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-13 0 1 1 1 1 0.95 0 0 1e-06 1 "1e-13_1_1_0.95_0_1e-06_1" "0_1_1_0_0_1e-06_1" "1e-13_1_1_0.95_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-13 0 1e-13 0 0 0 1e-13 0 1e-06 15038
"1e-12_1_1_0.95_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-12 0 1 1 1 1 0.95 0 0 1e-06 1 "1e-12_1_1_0.95_0_1e-06_1" "0_1_1_0_0_1e-06_1" "1e-12_1_1_0.95_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-12 0 1e-12 0 0 0 1e-12 0 1e-06 15515
"1e-11_1_1_0.95_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-11 0 1 1 1 1 0.95 0 0 1e-06 1 "1e-11_1_1_0.95_0_1e-06_1" "0_1_1_0_0_1e-06_1" "1e-11_1_1_0.95_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-11 0 1e-11 0 0 0 1e-11 0 1e-06 39046
"1e-13_1_1_0.975_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-13 0 1 1 1 1 0.975 0 0 1e-06 1 "1e-13_1_1_0.975_0_1e-06_1" "0_1_1_0_0_1e-06_1" "1e-13_1_1_0.975_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-13 0 1e-13 0 0 0 1e-13 0 1e-06 32443
