"O" "X" "Y" "XY" "R" "precis" "steady" "time" "steps" "ID"
"1" 99876813.4016849 1.03908580788359e-15 3.02607000766893e-06 2.51117953981708e-26 0.123186598315646 6.56512510265433e-09 1 8735.50335888543 558 "1e-13_0.001_0.01_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"2" 99876813.4016824 2.7474645532615e-15 4.83426561566058e-06 3.76644321087367e-27 0.123186598315646 4.82744067927173e-09 1 8621.13183864011 535 "1e-12_0.001_0.01_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"3" 99876813.4016841 -2.11291211263816e-14 8.9182678063547e-07 8.49551512181379e-25 0.123186598315647 5.88535345864702e-09 1 9041.23214070781 582 "1e-11_0.001_0.01_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"4" 99876813.4016818 3.27689441805141e-15 3.5026591824781e-06 2.37374187721817e-26 0.123186598315646 9.83565269477889e-09 1 8687.12999904739 541 "1e-13_1_0.01_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"5" 99876813.4016836 1.02837660420721e-15 3.42333131084985e-06 2.99596572953586e-25 0.123186598315646 4.54094060639151e-09 1 8700.32184785558 536 "1e-12_1_0.01_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"6" 99876813.4016811 5.03604587768979e-13 5.88231662521188e-06 4.41369209309723e-25 0.123186598315647 7.88253480915981e-09 1 8599.77045631575 564 "1e-11_1_0.01_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"7" 99876813.4016833 4.53658494868737e-16 8.84905905136618e-08 1.67880257538429e-26 0.123186598315647 2.32013785455901e-09 1 9478.89570288934 561 "1e-13_10_0.01_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"8" 99876813.4016828 5.85515785380369e-16 7.64989670824582e-08 -9.84307410412144e-27 0.123186598315647 6.5927096335301e-09 1 9505.09622733206 533 "1e-12_10_0.01_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"9" 99876813.4016829 3.63557240617913e-13 4.17722371630504e-06 2.48826928097482e-24 0.123186598315646 4.17724664373707e-09 1 8678.03261003442 619 "1e-11_10_0.01_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"10" 99876813.4016831 -4.49006704038117e-16 1.48234292107058e-06 9.73931862811462e-27 0.123186598315647 5.33468796336986e-09 1 8875.33889601546 613 "1e-13_0.001_0.01_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"11" 99876813.4016816 2.3767308637889e-15 5.42467236321846e-06 -1.3463256743943e-26 0.123186598315647 6.51184863381697e-09 1 8593.90139680479 567 "1e-12_0.001_0.01_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"12" 99876813.4016854 2.97268937780955e-13 2.52926069230315e-06 1.78136500553719e-26 0.123186598315645 9.42107394753543e-09 1 8809.11933093124 550 "1e-11_0.001_0.01_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"13" 99876813.4016804 3.74920107319802e-15 4.9111040748925e-06 -7.22430245038674e-27 0.123186598315646 8.82265907153717e-09 1 8609.44714763925 547 "1e-13_1_0.01_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"14" 99876813.4016836 8.04603199201255e-15 1.4481629302291e-06 6.33494269530641e-26 0.123186598315647 7.53705446917827e-09 1 9058.49731856777 546 "1e-12_1_0.01_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"15" 99876813.4016833 5.91651105647465e-13 1.83008630897029e-06 -6.62992940442045e-25 0.123186598315646 7.60428751433439e-09 1 8907.72632603631 580 "1e-11_1_0.01_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"16" 99876813.401682 1.11353328900065e-15 4.99481145184577e-06 1.38875946102494e-26 0.123186598315646 5.91289474148678e-09 1 8610.09528601405 582 "1e-13_10_0.01_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"17" 99876813.4016819 1.94428586498826e-15 2.6717298050447e-06 -2.52953630839914e-26 0.123186598315647 5.91776670663864e-09 1 8731.28031411002 544 "1e-12_10_0.01_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"18" 99876813.4016802 3.10899594452029e-13 4.39176745573942e-06 -1.02306735091891e-24 0.123186598315647 8.87294678472921e-09 1 8649.6456651261 573 "1e-11_10_0.01_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"19" 99876813.401681 1.83142742085963e-15 3.61843891501728e-06 1.43294987265255e-26 0.123186598315647 7.3854516101047e-09 1 8664.36277392759 597 "1e-13_0.001_0.01_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"20" 99876813.4016795 7.7082965760744e-16 6.07055963321605e-06 -2.47929642787947e-27 0.123186598315647 8.24950734349373e-09 1 8562.72947674805 554 "1e-12_0.001_0.01_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"21" 99876813.4016853 2.95808483642819e-13 2.50950466563587e-06 2.27914007499198e-26 0.123186598315645 9.96011039763266e-09 1 8811.29498088186 550 "1e-11_0.001_0.01_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"22" 99876813.401679 1.86955869225829e-16 6.44090801739628e-06 8.55922630676966e-27 0.123186598315647 9.53638374098163e-09 1 8547.54965327753 554 "1e-13_1_0.01_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"23" 99876813.4016829 7.74467984863869e-16 1.58355622606136e-08 8.12241389684508e-27 0.123186598315647 3.55423924857899e-09 1 9651.33742086017 546 "1e-12_1_0.01_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"24" 99876813.4016841 -1.43958719187667e-14 6.85705797781879e-08 -1.04668334312682e-24 0.123186598315646 6.21530740405305e-09 1 9550.86038423295 570 "1e-11_1_0.01_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"25" 99876813.4016854 5.66226473140863e-16 1.58347539995525e-06 8.36228105445374e-27 0.123186598315647 8.5983041077499e-09 1 8914.07119179163 556 "1e-13_10_0.01_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"26" 99876813.4016799 1.09345339777232e-15 5.50403746293873e-06 -1.1901870396104e-27 0.123186598315647 7.51935083140413e-09 1 8582.85534769145 578 "1e-12_10_0.01_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"27" 99876813.4016824 4.01537489984993e-13 4.628462648618e-06 2.12396170855746e-24 0.123186598315646 4.62985823889717e-09 1 8654.42327564013 564 "1e-11_10_0.01_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"28" 99876813.4016807 -1.72871421765276e-16 4.69129289225438e-06 1.88774827993273e-26 0.123186598315647 6.36654371368994e-09 1 8616.37932496954 568 "1e-13_0.001_1_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"29" 99876813.4016857 1.72305043324451e-15 1.57173022784645e-06 1.30331588464606e-24 0.123186598315647 8.58703060537388e-09 1 8923.02659398744 583 "1e-12_0.001_1_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"30" 99876813.4016804 9.03314716121902e-13 7.12334038672843e-06 7.51790794451412e-24 0.123186598315647 8.32892931293865e-09 1 8525.61658055955 636 "1e-11_0.001_1_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"31" 99876813.4016805 -3.61848742941107e-16 2.72374106210419e-06 1.22091160409319e-28 0.123186598315647 7.27155845898266e-09 1 8676.51579363654 571 "1e-13_1_1_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"32" 99876813.401676 8.92762529364417e-15 9.25883979074363e-06 8.34750215590974e-24 0.123186598315646 9.82030222575024e-09 1 8469.39688211134 560 "1e-12_1_1_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"33" 99876813.401681 3.6658826139235e-13 4.35615270138095e-06 4.4220068171326e-23 0.123186598315647 5.48599760147222e-09 1 8623.54198344516 588 "1e-11_1_1_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"34" 99876813.4016815 1.72864449984955e-15 3.09529817852824e-06 -3.53714846418966e-27 0.123186598315647 6.51067942530555e-09 1 8697.62558604179 546 "1e-13_10_1_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"35" 99876813.4016805 6.17298986044564e-15 4.68566514509475e-06 1.10210907435362e-23 0.123186598315646 8.41095563045199e-09 1 8619.46624903233 563 "1e-12_10_1_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"36" 99876813.4016809 4.87862588883561e-13 4.44244412214814e-06 -2.69830727365987e-23 0.123186598315647 5.56884227365072e-09 1 8645.27945220176 642 "1e-11_10_1_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"37" 99876813.401683 1.20313592742419e-15 4.31692183463957e-06 1.81589178880868e-26 0.123186598315646 5.24826910241985e-09 1 8645.67414357544 560 "1e-13_0.001_1_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"38" 99876813.4016819 -6.35815957840143e-16 3.4214379861279e-06 -1.02514645413722e-24 0.123186598315647 5.51994527146542e-09 1 8686.03540612779 596 "1e-12_0.001_1_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"39" 99876813.4016801 4.28867035354693e-13 4.54268198801334e-06 8.55310854842029e-23 0.123186598315647 9.01783290545222e-09 1 8608.70530394777 635 "1e-11_0.001_1_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"40" 99876813.4016842 6.1756018404184e-16 -1.27164698307611e-08 -3.03943876955171e-27 0.123186598315646 1.98982762034572e-10 1 15310.899941484 582 "1e-13_1_1_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
