"O" "X" "Y" "XY" "R" "precis" "steady" "time" "steps" "ID"
"1" 99876813.4016836 1.3495209693602e-07 0 0 0.123186598315646 7.60689481450173e-10 1 6175.26018883875 505 "1e-13_1_1_0.85_0_1e-08_1:0_1_1_0_0_1e-08_1"
"2" 99876813.4016834 1.3038240232217e-08 0 0 0.123186598315646 7.64625722910377e-10 1 6416.32107189341 524 "1e-12_1_1_0.85_0_1e-08_1:0_1_1_0_0_1e-08_1"
"3" 99876813.4016852 2.45870959809947e-06 0 0 0.123186598315646 6.29579389615383e-09 1 6598.20950436754 558 "1e-11_1_1_0.85_0_1e-08_1:0_1_1_0_0_1e-08_1"
"4" 99876813.4016832 4.35804044032038e-06 0 0 0.123186598315646 7.7108264002963e-09 1 8582.23174218495 516 "1e-13_1_1_0.9_0_1e-08_1:0_1_1_0_0_1e-08_1"
"5" 99876813.4016827 4.3089579111066e-06 0 0 0.123186598315646 4.50938109769034e-09 1 8730.63039714753 545 "1e-12_1_1_0.9_0_1e-08_1:0_1_1_0_0_1e-08_1"
"6" 99876813.4016832 3.76305338580194e-06 0 0 0.123186598315646 4.13560479774432e-09 1 10624.0230203981 547 "1e-11_1_1_0.9_0_1e-08_1:0_1_1_0_0_1e-08_1"
"7" 99876813.401688 8.85858208503275e-07 0 0 0.123186598315646 4.72705273787608e-09 1 18254.1027480492 516 "1e-13_1_1_0.95_0_1e-08_1:0_1_1_0_0_1e-08_1"
"8" 99876813.4016798 7.33895612261271e-06 0 0 0.123186598315646 3.85576691231818e-09 1 17552.0364924998 506 "1e-12_1_1_0.95_0_1e-08_1:0_1_1_0_0_1e-08_1"
"9" 99876813.4016838 7.0749368438923e-07 0 0 0.123186598315646 3.33398121259237e-09 1 29187.7204681781 482 "1e-11_1_1_0.95_0_1e-08_1:0_1_1_0_0_1e-08_1"
"10" 99876813.4016837 7.83120214377547e-07 0 0 0.123186598315646 1.68589635061485e-09 1 36039.0868717256 482 "1e-13_1_1_0.975_0_1e-08_1:0_1_1_0_0_1e-08_1"
"11" 99876813.4016833 4.3957241652177e-06 0 0 0.123186598315645 9.10832969672227e-09 1 36743.601551773 531 "1e-12_1_1_0.975_0_1e-08_1:0_1_1_0_0_1e-08_1"
"12" 99876813.4015962 8.88716580316195e-05 0 0 0.123186598315649 7.20250047437944e-09 1 146614.167853952 498 "1e-11_1_1_0.975_0_1e-08_1:0_1_1_0_0_1e-08_1"
"13" 99876813.4016825 1.97125925215983e-06 0 0 0.123186598315647 7.60641706294636e-09 1 5255.58384090097 485 "1e-13_1_1_0.85_0_1e-06_1:0_1_1_0_0_1e-06_1"
"14" 99876813.4016814 2.79730142108774e-06 0 0 0.123186598315647 9.67325245670356e-09 1 5266.71232312911 488 "1e-12_1_1_0.85_0_1e-06_1:0_1_1_0_0_1e-06_1"
"15" 99876813.4016828 4.05128718694668e-06 0 0 0.123186598315647 6.50896365810164e-09 1 5909.68035345917 472 "1e-11_1_1_0.85_0_1e-06_1:0_1_1_0_0_1e-06_1"
"16" 99876813.4016805 6.53542897541818e-06 0 0 0.123186598315647 8.93339506556489e-09 1 7656.15550050435 478 "1e-13_1_1_0.9_0_1e-06_1:0_1_1_0_0_1e-06_1"
"17" 99876813.4016846 3.31999005985525e-06 0 0 0.123186598315646 7.79036559626932e-09 1 7953.025459798 475 "1e-12_1_1_0.9_0_1e-06_1:0_1_1_0_0_1e-06_1"
"18" 99876813.4016848 7.42111964504242e-07 0 0 0.123186598315645 8.00643213212575e-09 1 10084.1196228793 483 "1e-11_1_1_0.9_0_1e-06_1:0_1_1_0_0_1e-06_1"
"19" 99876813.401677 1.01856346047936e-05 0 0 0.123186598315646 6.17381063279383e-09 1 15037.4351726041 481 "1e-13_1_1_0.95_0_1e-06_1:0_1_1_0_0_1e-06_1"
"20" 99876813.4016732 1.17065591723318e-05 0 0 0.123186598315646 5.76280588690442e-09 1 15514.4078699444 488 "1e-12_1_1_0.95_0_1e-06_1:0_1_1_0_0_1e-06_1"
"21" 99876813.4016839 -7.98726321424913e-08 0 0 0.123186598315646 7.84999171927094e-10 1 39045.0227060385 491 "1e-11_1_1_0.95_0_1e-06_1:0_1_1_0_0_1e-06_1"
"22" 99876813.4016833 4.59263642502744e-07 0 0 0.123186598315647 2.53460760413867e-09 1 32442.5667289847 463 "1e-13_1_1_0.975_0_1e-06_1:0_1_1_0_0_1e-06_1"
"23" 99876813.4016842 9.77367856744619e-08 0 0 0.123186598315647 3.00080336131987e-09 1 37205.6603071555 478 "1e-12_1_1_0.975_0_1e-06_1:0_1_1_0_0_1e-06_1"
"24" 99876813.4016637 2.19659456862987e-05 0 0 0.123186598315646 9.03051629073498e-09 1 135441.704579599 445 "1e-11_1_1_0.975_0_1e-06_1:0_1_1_0_0_1e-06_1"
"25" 99876813.4016823 2.12082063861352e-06 0 0 0.123186598315647 7.91420595588309e-09 1 4661.54409954625 448 "1e-13_1_1_0.85_0_1e-04_1:0_1_1_0_0_1e-04_1"
"26" 99876813.4016835 1.6894627224054e-06 0 0 0.123186598315645 9.79851194196578e-09 1 4831.09623361234 476 "1e-12_1_1_0.85_0_1e-04_1:0_1_1_0_0_1e-04_1"
