"X" "XY" "X_XY" "Y" "ID"
"1" 3918 2459 3918 3918 "1e-13_1_1_0.85_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1"
"2" 3954 2593 3954 3916 "1e-12_1_1_0.85_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1"
"3" 4395 2832 4395 3894 "1e-11_1_1_0.85_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1"
"4" 3916 2593 3916 3954 "1e-13_1_1_0.85_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1"
"5" 3952 2648 3952 3952 "1e-12_1_1_0.85_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1"
"6" 4391 2849 4391 3928 "1e-11_1_1_0.85_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1"
"7" 3894 2832 3894 4395 "1e-13_1_1_0.85_0_1e-08_1:1e-11_1_1_0.85_0_1e-08_1"
"8" 3928 2849 3928 4391 "1e-12_1_1_0.85_0_1e-08_1:1e-11_1_1_0.85_0_1e-08_1"
"9" 4336 3008 4336 4336 "1e-11_1_1_0.85_0_1e-08_1:1e-11_1_1_0.85_0_1e-08_1"
"10" 5993 2908 5993 3865 "1e-13_1_1_0.9_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1"
"11" 6094 3078 6094 3861 "1e-12_1_1_0.9_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1"
"12" 7350 3394 7350 3801 "1e-11_1_1_0.9_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1"
"13" 5992 3073 5992 3886 "1e-13_1_1_0.9_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1"
"14" 6093 3143 6093 3881 "1e-12_1_1_0.9_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1"
"15" 7349 3411 7349 3815 "1e-11_1_1_0.9_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1"
"16" 5985 3340 5985 4142 "1e-13_1_1_0.9_0_1e-08_1:1e-11_1_1_0.85_0_1e-08_1"
"17" 6086 3363 6086 4131 "1e-12_1_1_0.9_0_1e-08_1:1e-11_1_1_0.85_0_1e-08_1"
"18" 7333 3562 7333 3982 "1e-11_1_1_0.9_0_1e-08_1:1e-11_1_1_0.85_0_1e-08_1"
"19" 12084 2493 12084 3383 "1e-13_1_1_0.95_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1"
"20" 12514 2778 12514 3329 "1e-12_1_1_0.95_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1"
"21" 19528 2828 19528 2865 "1e-11_1_1_0.95_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1"
"22" 12083 2825 12083 3384 "1e-13_1_1_0.95_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1"
"23" 12514 2899 12514 3331 "1e-12_1_1_0.95_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1"
"24" 19528 2853 19528 2866 "1e-11_1_1_0.95_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1"
