"X" "XY" "X_XY" "Y" "ID"
"1" 3889 2565 3889 6093 "1e-13_0.001_0.01_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"2" 3909 2633 3909 6096 "1e-12_0.001_0.01_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"3" 4137 2847 4137 6120 "1e-11_0.001_0.01_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"4" 3889 2565 3889 6093 "1e-13_1_0.01_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"5" 3909 2633 3909 6096 "1e-12_1_0.01_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"6" 4137 2852 4137 6120 "1e-11_1_0.01_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"7" 3889 2565 3889 6093 "1e-13_10_0.01_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"8" 3909 2633 3909 6096 "1e-12_10_0.01_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"9" 4138 2852 4138 6120 "1e-11_10_0.01_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"10" 3889 2565 3889 6093 "1e-13_0.001_0.01_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"11" 3909 2633 3909 6096 "1e-12_0.001_0.01_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"12" 4137 2847 4137 6120 "1e-11_0.001_0.01_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"13" 3889 2565 3889 6093 "1e-13_1_0.01_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"14" 3909 2635 3909 6096 "1e-12_1_0.01_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"15" 4137 2853 4137 6120 "1e-11_1_0.01_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"16" 3889 2566 3889 6093 "1e-13_10_0.01_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"17" 3909 2635 3909 6096 "1e-12_10_0.01_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"18" 4138 2854 4138 6120 "1e-11_10_0.01_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"19" 3889 2565 3889 6093 "1e-13_0.001_0.01_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"20" 3909 2633 3909 6096 "1e-12_0.001_0.01_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"21" 4137 2847 4137 6120 "1e-11_0.001_0.01_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"22" 3889 2565 3889 6093 "1e-13_1_0.01_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"23" 3909 2635 3909 6096 "1e-12_1_0.01_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"24" 4137 2870 4137 6120 "1e-11_1_0.01_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"25" 3889 2566 3889 6093 "1e-13_10_0.01_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"26" 3909 2648 3909 6096 "1e-12_10_0.01_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"27" 4138 2871 4138 6120 "1e-11_10_0.01_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"28" 3889 2798 3889 6093 "1e-13_0.001_1_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"29" 3909 3005 3909 6092 "1e-12_0.001_1_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"30" 4149 3264 4149 6086 "1e-11_0.001_1_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"31" 3889 2798 3889 6093 "1e-13_1_1_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"32" 3909 3005 3909 6092 "1e-12_1_1_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"33" 4157 3270 4157 6086 "1e-11_1_1_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"34" 3889 2798 3889 6093 "1e-13_10_1_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"35" 3910 3005 3910 6093 "1e-12_10_1_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"36" 4223 3316 4223 6112 "1e-11_10_1_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"37" 3889 2798 3889 6093 "1e-13_0.001_1_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"38" 3909 3005 3909 6092 "1e-12_0.001_1_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"39" 4149 3264 4149 6086 "1e-11_0.001_1_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"40" 3889 2798 3889 6093 "1e-13_1_1_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"41" 3909 3007 3909 6092 "1e-12_1_1_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"42" 4157 3272 4157 6086 "1e-11_1_1_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"43" 3889 2800 3889 6093 "1e-13_10_1_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"44" 3910 3008 3910 6093 "1e-12_10_1_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"45" 4223 3318 4223 6112 "1e-11_10_1_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"46" 3889 2798 3889 6093 "1e-13_0.001_1_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"47" 3909 3005 3909 6093 "1e-12_0.001_1_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"48" 4150 3265 4150 6089 "1e-11_0.001_1_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"49" 3889 2798 3889 6093 "1e-13_1_1_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"50" 3909 3007 3909 6093 "1e-12_1_1_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"51" 4151 3293 4151 6086 "1e-11_1_1_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"52" 3889 2800 3889 6093 "1e-13_10_1_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"53" 3909 3028 3909 6093 "1e-12_10_1_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"54" 4222 3342 4222 6112 "1e-11_10_1_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"55" 3889 2999 3889 6090 "1e-13_0.001_10_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"56" 3913 3195 3913 6059 "1e-12_0.001_10_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"57" 4387 2828 4387 4258 "1e-11_0.001_10_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"58" 3889 2999 3889 6090 "1e-13_1_10_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"59" 3914 3195 3914 6059 "1e-12_1_10_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"60" 4420 2789 4420 4122 "1e-11_1_10_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"61" 3889 3000 3889 6090 "1e-13_10_10_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"62" 3920 3200 3920 6061 "1e-12_10_10_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"63" 4658 2888 4658 4031 "1e-11_10_10_0.85_-0.05_1e-08_1:1e-12_0.001_0.01_0.9_-0.05_1e-08_1"
"64" 3889 2999 3889 6090 "1e-13_0.001_10_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"65" 3913 3195 3913 6059 "1e-12_0.001_10_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"66" 4386 2840 4386 4289 "1e-11_0.001_10_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"67" 3889 3000 3889 6090 "1e-13_1_10_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"68" 3913 3197 3913 6059 "1e-12_1_10_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"69" 4416 2799 4416 4142 "1e-11_1_10_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"70" 3889 3002 3889 6090 "1e-13_10_10_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"71" 3920 3202 3920 6062 "1e-12_10_10_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"72" 4659 2901 4659 4050 "1e-11_10_10_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"73" 3889 3000 3889 6090 "1e-13_0.001_10_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"74" 3915 3197 3915 6062 "1e-12_0.001_10_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"75" 4411 2883 4411 4359 "1e-11_0.001_10_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"76" 3889 3000 3889 6090 "1e-13_1_10_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"77" 3915 3199 3915 6062 "1e-12_1_10_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"78" 4416 2832 4416 4143 "1e-11_1_10_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"79" 3889 3002 3889 6090 "1e-13_10_10_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"80" 3915 3225 3915 6062 "1e-12_10_10_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"81" 4659 2934 4659 4051 "1e-11_10_10_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"82" 3860 2981 3860 6094 "1e-13_0.001_0.01_0.85_-0.05_1e-08_1:1e-12_0.001_1_0.9_-0.05_1e-08_1"
"83" 3880 2987 3880 6096 "1e-12_0.001_0.01_0.85_-0.05_1e-08_1:1e-12_0.001_1_0.9_-0.05_1e-08_1"
"84" 4104 3048 4104 6120 "1e-11_0.001_0.01_0.85_-0.05_1e-08_1:1e-12_0.001_1_0.9_-0.05_1e-08_1"
"85" 3861 2982 3861 6094 "1e-13_1_0.01_0.85_-0.05_1e-08_1:1e-12_0.001_1_0.9_-0.05_1e-08_1"
"86" 3880 2988 3880 6096 "1e-12_1_0.01_0.85_-0.05_1e-08_1:1e-12_0.001_1_0.9_-0.05_1e-08_1"
"87" 4105 3051 4105 6119 "1e-11_1_0.01_0.85_-0.05_1e-08_1:1e-12_0.001_1_0.9_-0.05_1e-08_1"
"88" 3861 2982 3861 6094 "1e-13_10_0.01_0.85_-0.05_1e-08_1:1e-12_0.001_1_0.9_-0.05_1e-08_1"
"89" 3881 2988 3881 6096 "1e-12_10_0.01_0.85_-0.05_1e-08_1:1e-12_0.001_1_0.9_-0.05_1e-08_1"
"90" 4112 3056 4112 6122 "1e-11_10_0.01_0.85_-0.05_1e-08_1:1e-12_0.001_1_0.9_-0.05_1e-08_1"
"91" 3860 2981 3860 6094 "1e-13_0.001_0.01_0.85_-0.05_1e-08_1:1e-12_1_1_0.9_-0.05_1e-08_1"
"92" 3880 2987 3880 6096 "1e-12_0.001_0.01_0.85_-0.05_1e-08_1:1e-12_1_1_0.9_-0.05_1e-08_1"
"93" 4104 3048 4104 6120 "1e-11_0.001_0.01_0.85_-0.05_1e-08_1:1e-12_1_1_0.9_-0.05_1e-08_1"
"94" 3860 2982 3860 6094 "1e-13_1_0.01_0.85_-0.05_1e-08_1:1e-12_1_1_0.9_-0.05_1e-08_1"
"95" 3880 2990 3880 6096 "1e-12_1_0.01_0.85_-0.05_1e-08_1:1e-12_1_1_0.9_-0.05_1e-08_1"
"96" 4105 3053 4105 6119 "1e-11_1_0.01_0.85_-0.05_1e-08_1:1e-12_1_1_0.9_-0.05_1e-08_1"
"97" 3860 2984 3860 6094 "1e-13_10_0.01_0.85_-0.05_1e-08_1:1e-12_1_1_0.9_-0.05_1e-08_1"
"98" 3881 2990 3881 6096 "1e-12_10_0.01_0.85_-0.05_1e-08_1:1e-12_1_1_0.9_-0.05_1e-08_1"
"99" 4112 3058 4112 6122 "1e-11_10_0.01_0.85_-0.05_1e-08_1:1e-12_1_1_0.9_-0.05_1e-08_1"
"100" 3861 2982 3861 6094 "1e-13_0.001_0.01_0.85_-0.05_1e-08_1:1e-12_10_1_0.9_-0.05_1e-08_1"
"101" 3880 2987 3880 6096 "1e-12_0.001_0.01_0.85_-0.05_1e-08_1:1e-12_10_1_0.9_-0.05_1e-08_1"
"102" 4104 3048 4104 6120 "1e-11_0.001_0.01_0.85_-0.05_1e-08_1:1e-12_10_1_0.9_-0.05_1e-08_1"
"103" 3861 2982 3861 6094 "1e-13_1_0.01_0.85_-0.05_1e-08_1:1e-12_10_1_0.9_-0.05_1e-08_1"
"104" 3880 2990 3880 6096 "1e-12_1_0.01_0.85_-0.05_1e-08_1:1e-12_10_1_0.9_-0.05_1e-08_1"
"105" 4104 3074 4104 6119 "1e-11_1_0.01_0.85_-0.05_1e-08_1:1e-12_10_1_0.9_-0.05_1e-08_1"
"106" 3861 2984 3861 6094 "1e-13_10_0.01_0.85_-0.05_1e-08_1:1e-12_10_1_0.9_-0.05_1e-08_1"
"107" 3880 3010 3880 6096 "1e-12_10_0.01_0.85_-0.05_1e-08_1:1e-12_10_1_0.9_-0.05_1e-08_1"
"108" 4112 3079 4112 6122 "1e-11_10_0.01_0.85_-0.05_1e-08_1:1e-12_10_1_0.9_-0.05_1e-08_1"
"109" 3861 2990 3861 6094 "1e-13_0.001_1_0.85_-0.05_1e-08_1:1e-12_0.001_1_0.9_-0.05_1e-08_1"
"110" 3881 3047 3881 6093 "1e-12_0.001_1_0.85_-0.05_1e-08_1:1e-12_0.001_1_0.9_-0.05_1e-08_1"
"111" 4116 3253 4116 6087 "1e-11_0.001_1_0.85_-0.05_1e-08_1:1e-12_0.001_1_0.9_-0.05_1e-08_1"
"112" 3861 2990 3861 6094 "1e-13_1_1_0.85_-0.05_1e-08_1:1e-12_0.001_1_0.9_-0.05_1e-08_1"
"113" 3881 3047 3881 6093 "1e-12_1_1_0.85_-0.05_1e-08_1:1e-12_0.001_1_0.9_-0.05_1e-08_1"
"114" 4126 3260 4126 6086 "1e-11_1_1_0.85_-0.05_1e-08_1:1e-12_0.001_1_0.9_-0.05_1e-08_1"
"115" 3861 2990 3861 6094 "1e-13_10_1_0.85_-0.05_1e-08_1:1e-12_0.001_1_0.9_-0.05_1e-08_1"
"116" 3882 3048 3882 6093 "1e-12_10_1_0.85_-0.05_1e-08_1:1e-12_0.001_1_0.9_-0.05_1e-08_1"
"117" 4197 3310 4197 6114 "1e-11_10_1_0.85_-0.05_1e-08_1:1e-12_0.001_1_0.9_-0.05_1e-08_1"
"118" 3861 2990 3861 6094 "1e-13_0.001_1_0.85_-0.05_1e-08_1:1e-12_1_1_0.9_-0.05_1e-08_1"
"119" 3881 3047 3881 6093 "1e-12_0.001_1_0.85_-0.05_1e-08_1:1e-12_1_1_0.9_-0.05_1e-08_1"
"120" 4116 3253 4116 6087 "1e-11_0.001_1_0.85_-0.05_1e-08_1:1e-12_1_1_0.9_-0.05_1e-08_1"
"121" 3861 2990 3861 6094 "1e-13_1_1_0.85_-0.05_1e-08_1:1e-12_1_1_0.9_-0.05_1e-08_1"
"122" 3881 3049 3881 6093 "1e-12_1_1_0.85_-0.05_1e-08_1:1e-12_1_1_0.9_-0.05_1e-08_1"
