"X" "ID"
"1" 4011 "1e-13_1_1_0.85_0_1e-08_1:0_1_1_0_0_1e-08_1"
"2" 4055 "1e-12_1_1_0.85_0_1e-08_1:0_1_1_0_0_1e-08_1"
"3" 4565 "1e-11_1_1_0.85_0_1e-08_1:0_1_1_0_0_1e-08_1"
"4" 6076 "1e-13_1_1_0.9_0_1e-08_1:0_1_1_0_0_1e-08_1"
"5" 6180 "1e-12_1_1_0.9_0_1e-08_1:0_1_1_0_0_1e-08_1"
"6" 7461 "1e-11_1_1_0.9_0_1e-08_1:0_1_1_0_0_1e-08_1"
"7" 12157 "1e-13_1_1_0.95_0_1e-08_1:0_1_1_0_0_1e-08_1"
"8" 12589 "1e-12_1_1_0.95_0_1e-08_1:0_1_1_0_0_1e-08_1"
"9" 19619 "1e-11_1_1_0.95_0_1e-08_1:0_1_1_0_0_1e-08_1"
"10" 24094 "1e-13_1_1_0.975_0_1e-08_1:0_1_1_0_0_1e-08_1"
"11" 25896 "1e-12_1_1_0.975_0_1e-08_1:0_1_1_0_0_1e-08_1"
"12" 109455 "1e-11_1_1_0.975_0_1e-08_1:0_1_1_0_0_1e-08_1"
"13" 3488 "1e-13_1_1_0.85_0_1e-06_1:0_1_1_0_0_1e-06_1"
"14" 3527 "1e-12_1_1_0.85_0_1e-06_1:0_1_1_0_0_1e-06_1"
"15" 3976 "1e-11_1_1_0.85_0_1e-06_1:0_1_1_0_0_1e-06_1"
"16" 5244 "1e-13_1_1_0.9_0_1e-06_1:0_1_1_0_0_1e-06_1"
"17" 5334 "1e-12_1_1_0.9_0_1e-06_1:0_1_1_0_0_1e-06_1"
"18" 6449 "1e-11_1_1_0.9_0_1e-06_1:0_1_1_0_0_1e-06_1"
"19" 10396 "1e-13_1_1_0.95_0_1e-06_1:0_1_1_0_0_1e-06_1"
"20" 10765 "1e-12_1_1_0.95_0_1e-06_1:0_1_1_0_0_1e-06_1"
"21" 16788 "1e-11_1_1_0.95_0_1e-06_1:0_1_1_0_0_1e-06_1"
"22" 20458 "1e-13_1_1_0.975_0_1e-06_1:0_1_1_0_0_1e-06_1"
"23" 21982 "1e-12_1_1_0.975_0_1e-06_1:0_1_1_0_0_1e-06_1"
"24" 92841 "1e-11_1_1_0.975_0_1e-06_1:0_1_1_0_0_1e-06_1"
"25" 2927 "1e-13_1_1_0.85_0_1e-04_1:0_1_1_0_0_1e-04_1"
"26" 2960 "1e-12_1_1_0.85_0_1e-04_1:0_1_1_0_0_1e-04_1"
"27" 3337 "1e-11_1_1_0.85_0_1e-04_1:0_1_1_0_0_1e-04_1"
"28" 4330 "1e-13_1_1_0.9_0_1e-04_1:0_1_1_0_0_1e-04_1"
"29" 4404 "1e-12_1_1_0.9_0_1e-04_1:0_1_1_0_0_1e-04_1"
"30" 5310 "1e-11_1_1_0.9_0_1e-04_1:0_1_1_0_0_1e-04_1"
"31" 8322 "1e-13_1_1_0.95_0_1e-04_1:0_1_1_0_0_1e-04_1"
"32" 8606 "1e-12_1_1_0.95_0_1e-04_1:0_1_1_0_0_1e-04_1"
"33" 13134 "1e-11_1_1_0.95_0_1e-04_1:0_1_1_0_0_1e-04_1"
"34" 15649 "1e-13_1_1_0.975_0_1e-04_1:0_1_1_0_0_1e-04_1"
"35" 16717 "1e-12_1_1_0.975_0_1e-04_1:0_1_1_0_0_1e-04_1"
"36" 55755 "1e-11_1_1_0.975_0_1e-04_1:0_1_1_0_0_1e-04_1"
"37" 203464 "1e-13_1_1_1_0_1e-04_1:0_1_1_0_0_1e-04_1"
"38" 95142102 "1e-12_1_1_1_0_1e-04_1:0_1_1_0_0_1e-04_1"
