"X" "ID"
"1" 4011 "1e-13_1_1_0.85_0_1e-08_1:0_1_1_0_0_1e-08_1"
"2" 4056 "1e-12_1_1_0.85_0_1e-08_1:0_1_1_0_0_1e-08_1"
"3" 4566 "1e-11_1_1_0.85_0_1e-08_1:0_1_1_0_0_1e-08_1"
"4" 6076 "1e-13_1_1_0.9_0_1e-08_1:0_1_1_0_0_1e-08_1"
"5" 6180 "1e-12_1_1_0.9_0_1e-08_1:0_1_1_0_0_1e-08_1"
"6" 7462 "1e-11_1_1_0.9_0_1e-08_1:0_1_1_0_0_1e-08_1"
"7" 12157 "1e-13_1_1_0.95_0_1e-08_1:0_1_1_0_0_1e-08_1"
"8" 12589 "1e-12_1_1_0.95_0_1e-08_1:0_1_1_0_0_1e-08_1"
"9" 19619 "1e-11_1_1_0.95_0_1e-08_1:0_1_1_0_0_1e-08_1"
"10" 24094 "1e-13_1_1_0.975_0_1e-08_1:0_1_1_0_0_1e-08_1"
"11" 25896 "1e-12_1_1_0.975_0_1e-08_1:0_1_1_0_0_1e-08_1"
"12" 109455 "1e-11_1_1_0.975_0_1e-08_1:0_1_1_0_0_1e-08_1"
"13" 3488 "1e-13_1_1_0.85_0_1e-06_1:0_1_1_0_0_1e-06_1"
"14" 3528 "1e-12_1_1_0.85_0_1e-06_1:0_1_1_0_0_1e-06_1"
"15" 3977 "1e-11_1_1_0.85_0_1e-06_1:0_1_1_0_0_1e-06_1"
"16" 5244 "1e-13_1_1_0.9_0_1e-06_1:0_1_1_0_0_1e-06_1"
"17" 5335 "1e-12_1_1_0.9_0_1e-06_1:0_1_1_0_0_1e-06_1"
"18" 6449 "1e-11_1_1_0.9_0_1e-06_1:0_1_1_0_0_1e-06_1"
"19" 10396 "1e-13_1_1_0.95_0_1e-06_1:0_1_1_0_0_1e-06_1"
"20" 10766 "1e-12_1_1_0.95_0_1e-06_1:0_1_1_0_0_1e-06_1"
"21" 16788 "1e-11_1_1_0.95_0_1e-06_1:0_1_1_0_0_1e-06_1"
"22" 20458 "1e-13_1_1_0.975_0_1e-06_1:0_1_1_0_0_1e-06_1"
"23" 21982 "1e-12_1_1_0.975_0_1e-06_1:0_1_1_0_0_1e-06_1"
"24" 92841 "1e-11_1_1_0.975_0_1e-06_1:0_1_1_0_0_1e-06_1"
"25" 2928 "1e-13_1_1_0.85_0_1e-04_1:0_1_1_0_0_1e-04_1"
"26" 2961 "1e-12_1_1_0.85_0_1e-04_1:0_1_1_0_0_1e-04_1"
"27" 3338 "1e-11_1_1_0.85_0_1e-04_1:0_1_1_0_0_1e-04_1"
"28" 4330 "1e-13_1_1_0.9_0_1e-04_1:0_1_1_0_0_1e-04_1"
"29" 4404 "1e-12_1_1_0.9_0_1e-04_1:0_1_1_0_0_1e-04_1"
"30" 5311 "1e-11_1_1_0.9_0_1e-04_1:0_1_1_0_0_1e-04_1"
"31" 8322 "1e-13_1_1_0.95_0_1e-04_1:0_1_1_0_0_1e-04_1"
"32" 8606 "1e-12_1_1_0.95_0_1e-04_1:0_1_1_0_0_1e-04_1"
"33" 13134 "1e-11_1_1_0.95_0_1e-04_1:0_1_1_0_0_1e-04_1"
"34" 15649 "1e-13_1_1_0.975_0_1e-04_1:0_1_1_0_0_1e-04_1"
"35" 16717 "1e-12_1_1_0.975_0_1e-04_1:0_1_1_0_0_1e-04_1"
"36" 55755 "1e-11_1_1_0.975_0_1e-04_1:0_1_1_0_0_1e-04_1"
